CNatFluct,CdueGHG,CseriousDamage,CO2causesCC,HumansInsign,GMimportant,GMdamageEnv,GMtested,GMdangerous,GMsafe,VaxSafe,VaxNegSide,VaxTested,VaxRisky,VaxContribHealth,PLiberal,PRepub,PCommunismFailed,PNeverConserv,PMediaLeft,PSocialismOK,PLeft,FMUnresBest,FMLimitSocial,FMMoreImp,FMThreatEnv,FMUnsustain,CYNewWorldOrder,CYMLK,CYMoon,CYJFK,CY911,CYDiana,CYClimChange,CYAIDS,CYTobacco,Catch1,CauseHIV,CauseSmoking,CauseLead,age,gender,climate_avg,GM_food_avg,vaccines_avg,political_conservatism_avg,free_market_avg,conspiracist_avg,convenience_avg,scientific_props_avg,conspiacist_avg_quad
2,4,5,4,3,4,2,5,2,4,4,3,5,2,4,2,4,3,4,4,1,2,4,2,5,3,2,4,3,4,4,5,4,4,4,4,3,5,4,4,30,2,3.6,3.4,3.6,2.85714285714286,3.2,4,4,4.33333333333333,16
3,5,5,3,4,2,2,3,3,2,4,3,3,3,3,2,3,2,3,5,4,1,1,5,1,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,29,2,4,2.4,3.2,2.85714285714286,3.4,3,3,5,9
2,3,4,4,4,3,3,3,3,3,5,5,4,5,4,3,3,4,4,3,4,3,3,2,4,3,3,1,1,1,1,1,1,2,1,1,3,5,5,4,41,1,3.4,3,4.6,3.42857142857143,3,1,1.33333333333333,4.66666666666667,1
5,5,5,4,5,2,2,1,2,2,5,5,3,5,5,2,2,4,3,2,3,2,1,2,1,1,1,1,3,1,2,1,1,1,1,1,3,5,5,4,53,2,4.8,1.8,4.6,2.57142857142857,1.2,1.5,1,4.66666666666667,2.25
3,4,4,4,5,3,4,4,4,3,5,5,4,4,5,2,2,4,3,3,3,3,3,2,2,2,3,2,2,1,3,2,2,1,2,2,3,5,4,5,26,2,4,3.6,4.6,2.85714285714286,2.4,2,1.66666666666667,4.66666666666667,4
4,4,4,3,5,5,5,4,4,4,5,5,4,5,5,4,3,3,3,3,3,4,3,2,2,3,3,1,1,1,3,2,5,2,1,1,3,4,5,4,62,2,4,4.4,4.8,3.28571428571429,2.6,2.16666666666667,1.33333333333333,4.33333333333333,4.69444444444444
2,3,4,3,4,2,2,2,2,2,4,4,3,4,4,4,3,3,3,3,3,3,4,3,4,3,3,3,2,2,2,3,2,2,2,2,3,4,4,4,58,2,3.2,2,3.8,3.14285714285714,3.4,2.33333333333333,2,4,5.44444444444445
5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,4,2,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,3,5,5,5,73,1,5,2,3,2.14285714285714,2.2,1,1,5,1
4,4,4,2,4,4,4,3,3,3,4,4,3,4,5,2,1,3,1,2,3,2,4,2,4,4,3,2,1,1,2,1,2,1,1,1,3,4,5,4,46,2,3.6,3.4,4,2,3.4,1.5,1,4.33333333333333,2.25
2,5,4,4,4,4,3,3,2,3,5,3,4,4,5,3,5,2,3,4,3,2,3,4,4,3,3,3,2,1,2,1,3,3,1,2,3,4,4,4,52,2,3.8,3,4.2,3.14285714285714,3.4,2,2,4,4
2,4,4,4,2,4,2,4,2,4,4,2,3,3,3,2,5,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,1,3.2,3.2,3,3.14285714285714,3,3,3,3,9
2,3,4,3,5,2,2,2,2,4,5,5,4,4,5,4,4,5,5,5,4,4,4,2,4,2,2,5,2,1,3,2,2,2,1,1,3,4,4,4,34,2,3.4,2.4,4.6,4.42857142857143,2.8,2.5,1.33333333333333,4,6.25
